scenario,domain,day_90_score,median_score,median_daily_absolute_change,max_daily_absolute_change
consistent_good_sleep,sleep,94.4,97.3,1.6,9.6
consistent_good_sleep,recovery,89.4,91.8,2.2,10.9
consistent_good_sleep,movement,95.4,95.4,3.6,11.2
chronic_short_sleep,sleep,59.9,60.4,0.6,2.2
chronic_short_sleep,recovery,72.9,76.6,1.8,7.3
chronic_short_sleep,movement,93.5,95.0,2.8,14.3
one_short_night,sleep,35.3,85.0,1.4,49.4
one_short_night,recovery,58.7,87.3,2.5,22.5
one_short_night,movement,99.5,95.1,2.9,11.0
several_short_nights,sleep,43.7,97.2,1.8,19.5
several_short_nights,recovery,66.9,92.6,2.2,8.4
several_short_nights,movement,91.3,96.4,2.7,9.1
long_fragmented_sleep,sleep,59.7,59.9,0.3,1.1
long_fragmented_sleep,recovery,75.7,76.9,1.9,8.9
long_fragmented_sleep,movement,85.7,82.5,4.3,13.0
late_consistent_sleep,sleep,99.3,98.1,2.3,9.5
late_consistent_sleep,recovery,91.8,92.8,2.5,8.9
late_consistent_sleep,movement,99.2,95.8,2.6,8.9
shift_worker,sleep,62.3,61.5,25.4,33.3
shift_worker,recovery,79.6,75.2,11.4,22.6
shift_worker,movement,95.1,95.8,2.1,9.4
jet_lag,sleep,96.6,97.0,2.0,13.4
jet_lag,recovery,85.5,91.2,2.7,9.7
jet_lag,movement,95.6,95.8,2.4,11.1
high_overnight_heart_rate,sleep,79.7,85.0,1.1,6.6
high_overnight_heart_rate,recovery,44.2,86.8,1.8,40.1
high_overnight_heart_rate,movement,95.1,94.8,3.1,13.8
low_hrv,sleep,98.7,97.0,2.0,10.3
low_hrv,recovery,96.4,92.8,2.4,10.3
low_hrv,movement,98.1,96.0,2.6,8.9
improving_hrv,sleep,97.2,97.2,1.6,13.8
improving_hrv,recovery,94.0,92.1,2.1,10.8
improving_hrv,movement,82.1,83.0,2.8,15.0
temperature_elevation,sleep,97.4,97.5,2.1,10.3
temperature_elevation,recovery,91.1,92.5,2.3,13.3
temperature_elevation,movement,97.8,95.5,2.2,10.8
missing_temperature,sleep,95.6,97.3,2.1,11.5
missing_temperature,recovery,93.8,92.7,2.3,12.7
missing_temperature,movement,89.1,95.2,3.0,8.9
missing_heart_rate,sleep,97.8,97.5,1.7,12.4
missing_heart_rate,recovery,94.3,92.0,2.6,10.3
missing_heart_rate,movement,95.0,95.3,2.2,9.2
partial_sleep,sleep,,85.1,1.3,11.5
partial_sleep,recovery,84.1,87.2,2.5,11.2
partial_sleep,movement,92.6,95.5,2.8,14.0
no_ring_wear,sleep,,97.1,1.55,10.6
no_ring_wear,recovery,,92.9,2.0,9.6
no_ring_wear,movement,53.6,96.2,2.5,42.4
hard_workout,sleep,92.6,97.4,2.0,9.6
hard_workout,recovery,84.7,91.8,3.1,11.6
hard_workout,movement,85.7,82.2,3.2,11.4
swimming_day,sleep,97.3,97.2,2.1,9.4
swimming_day,recovery,93.3,91.6,2.6,14.1
swimming_day,movement,85.4,95.1,3.1,11.0
strength_day,sleep,98.2,97.0,2.1,19.5
strength_day,recovery,93.2,91.3,2.6,12.1
strength_day,movement,98.2,95.9,2.5,12.4
excessive_load,sleep,96.7,97.2,1.6,9.0
excessive_load,recovery,68.5,91.8,2.4,25.7
excessive_load,movement,77.0,95.1,2.7,18.0
extended_inactivity,sleep,84.8,85.0,1.3,12.0
extended_inactivity,recovery,83.3,87.3,2.7,11.5
extended_inactivity,movement,42.9,43.3,0.2,1.9
illness,sleep,98.0,97.1,2.4,17.9
illness,recovery,24.0,93.0,2.5,70.6
illness,movement,,96.6,2.3,8.4
alcohol,sleep,91.0,97.4,1.5,9.0
alcohol,recovery,63.4,92.2,2.2,28.8
alcohol,movement,83.6,81.3,3.3,11.9
late_meal,sleep,97.0,97.4,1.4,8.3
late_meal,recovery,74.5,92.0,2.6,11.7
late_meal,movement,97.8,95.3,2.5,9.6
normal_cycle,sleep,98.6,97.5,1.4,11.1
normal_cycle,recovery,93.6,91.7,2.3,12.6
normal_cycle,movement,93.4,95.2,2.9,10.7
irregular_cycle,sleep,97.6,97.2,1.9,13.1
irregular_cycle,recovery,94.5,91.7,2.5,10.1
irregular_cycle,movement,95.0,95.0,3.0,10.5
hormonal_contraception,sleep,84.4,85.0,1.3,10.3
hormonal_contraception,recovery,83.7,87.3,2.1,10.8
hormonal_contraception,movement,91.6,95.9,2.5,16.1
follicular_phase,sleep,98.5,97.4,1.5,9.8
follicular_phase,recovery,95.3,93.0,2.2,10.3
follicular_phase,movement,95.2,96.2,2.6,9.2
luteal_phase,sleep,98.5,97.3,1.4,9.9
luteal_phase,recovery,83.5,91.7,2.5,12.2
luteal_phase,movement,85.9,81.5,3.5,18.9
user_declared_pregnancy,sleep,97.3,97.3,1.4,10.5
user_declared_pregnancy,recovery,,,,
user_declared_pregnancy,movement,96.5,96.0,2.9,12.7
perimenopause_symptoms,sleep,98.5,97.5,1.6,13.8
perimenopause_symptoms,recovery,89.9,91.8,2.5,10.3
perimenopause_symptoms,movement,92.7,95.5,2.7,11.1
low_baseline_maturity,sleep,98.3,97.3,1.3,7.4
low_baseline_maturity,recovery,92.8,92.3,2.0,13.4
low_baseline_maturity,movement,95.0,95.8,2.8,13.2
new_device_firmware_change,sleep,78.6,85.0,1.4,6.4
new_device_firmware_change,recovery,82.6,87.6,2.3,8.4
new_device_firmware_change,movement,97.1,96.0,2.9,10.8
